streetAddress,count
4020 Berkman Dr,1
3310 Denver Ave,1
1912 Tom Miller St,1
2501 Moreno St,1
2954 Higgins St,1
4041 Threadgill St,1
4029 Threadgill St,1
2021 Emma Long St,1
2942 Eckert St,1
1903 Greenwood Ave,1
2931 Eckert St #A,1
2108 Emma Long St,1
2935 Moss St #2,1
2936 Higgins St,1
1802 Loreto Dr #B,1
4013 Briones St,1
2948 Higgins St,1
2409 Moreno St,1
2124 Mccloskey St,1
2935 Eckert St,1
3903 Vineland Dr,1
3016 E 16th St,1
3505 E 17th St,1
2106 E 12th St,1
1700 Ulit Ave,1
1208 Walnut Ave,1
3009 Kuhlman Ave,1
1909 E 18th St,1
2411 E 11th St,1
1407 Singleton Ave,1
2709 E 14th St,1
1003 Glen Oaks Ct,1
1207 Coleto St,1
2202 E 12th St,1
2205 E 13th St,1
914 Walter St,1
1008 Walter St,1
2520 Tom Miller St,1
1807 New York Ave,1
1707 Cedar Ave,1
2401 Bryan St,1
1905 Sl Davis Ave,1
1901 Sl Davis Ave,1
1705 E 14th St UNIT B,1
2013 Tillotson Ave,1
1307 Cedar Ave,1
1209 Salina St,1
1304 Leona St,1
1916 E 11th St,1
2819 E 14th St,1
2901 Glen Rae St,1
2301 E 17th St,1
2206 New York Ave,1
1810 Poquito St,1
1813 E 39th St,1
1407 Greenwood Ave,1
1916 E M Franklin Ave UNIT A,1
3101 Mccurdy St,1
3409 Banton Rd,1
1801 E 18th St #B,1
2509 E 10th St,1
1604 E 13th St,1
1507 E 14th St,1
1306 Comal St,1
2100 S L Davis Ave #1,1
1035 Nile St,1
1203 Cedar Ave,1
1709 E 18th St #A,1
1402 Cedar Ave,1
1009 Nile St,1
1400-1402 Cedar Ave,1
1011 Walter St,1
2203 E 18th St,1
2405 E 11th St,1
1612 Miriam Ave #B,1
921 Walter St,1
1187 Coleto St,1
909 Walter St,1
2100 E 14th St #A,1
2100 Palo Pinto Dr #A,1
3916 Hermalinda St,1
2006 Encino Cir,1
1204 E 30th St,1
3111 Robinson Ave,1
3101 Robinson Ave,1
1907 E 20th St,1
2100 E 22nd St,1
1204 E 32nd St,1
3811 Cherrywood Rd,1
3906 Cherrywood Rd,1
3507 Basford Rd,1
3700 Lafayette Ave,1
3313 Merrie Lynn Ave,1
3711 Werner Ave,1
3303 Merrie Lynn Ave,1
1203 E 31st St,1
3706 Hollywood Ave,1
1111 E 31st St,1
2201 E 22nd St,1
2500 Givens Ave,1
1800 E M L King Jr Blvd,1
3712 Werner Ave,1
1712 Giles St,1
1716 Giles St,1
3505 Hollywood Ave,1
3402 Werner Ave,1
1717 E 38th St,1
3412 Werner Ave,1
3509 Vineland Dr,1
1205 E 32nd St,1
1016 Willow St,1
1305 Holly St,1
1014 Willow St,1
1308 1/2 Travis Heights Blvd,1
1911 Fairlawn Ln,1
2208 Euclid Ave,1
1707 Eva St,1
2107 Glendale Pl,1
901 Bouldin Ave #B,1
1106 Manlove St,1
1810 Travis Heights Blvd,1
1217 Taylor St,1
1209 Taylor St,1
1806 Kenwood Ave,1
1604 Alta Vista Ave,1
1204 Haskell St,1
1505 Alta Vista Ave,1
2012 Travis Heights Blvd,1
1106 Fairmount Ave,1
1915 Haskell St,1
1810 Woodland Ave,1
904 E Monroe St,1
1910 Holly St,1
318 Le Grande Ave,1
1207 Alta Vista Ave,1
1110 Fairmount Ave,1
1506 Travis Heights Blvd,1
2102 Alta Vista Ave,1
3505 Vineland Dr,1
3708 Hollywood Ave,1
2004 Encino Cir,1
2309 Lafayette Ave,1
2213 Poquito St UNIT 106,1
2507 Weber Ave,1
2606 Rogers Ave #B,1
3904 Vineland Dr,1
2205 Curtis Ave,1
1802 Maple Ave,1
1504 E 34th St,1
3113 Lafayette Ave,1
2808 Lafayette Ave,1
2202 E 20th St #B,1
12 Kern Ramble St,1
3808 Sycamore Dr,1
2611 Oaklawn Ave,1
3213 Walnut Ave,1
2109 Chestnut Ave,1
3300 Denver Ave,1
1912 Antone St,1
3703 Grayson Ln,1
1610 Sanchez St,1
3905 Sahm St,1
1907 Greenwood Ave #B,1
1706 Sanchez St,1
1707 Clifford Ave,1
3702 Grayson Ln,1
2008 Antone St,1
4016 Camacho St,1
1802 Miriam Ave,1
3506 Clarkson Ave,1
2002 Maple Ave,1
2005 Chestnut Ave,1
3509 Robinson Ave,1
3503 Robinson Ave,1
1813 Ulit Ave,1
1406 E 34th St #B,1
3107 Dancy St,1
3407 Robinson Ave,1
1811 Cedar Ave,1
1709 E 38th St,1
3207 Merrie Lynn Ave APT A,1
1726 E 32nd St,1
1710 Walnut Ave,1
3211 Cherrywood Rd,1
2800 E 22nd St,1
2808 E 22nd St,1
3412 Robinson Ave,1
3702 Cherrywood Rd,1
3706 Cherrywood Rd,1
3002 Cherrywood Rd,1
2801 E 22nd St,1
19 Kern Ramble St,1
3007 Breeze Ter,1
3206 French Pl,1
1505 Edgewood Ave,1
3209 French Pl,1
3201 French Pl,1
2005 Pennsylvania Ave #B,1
1307 Alamo St,1
1126 Lincoln St,1
1707 Deloney St,1
4109 E 12th St #2,1
1131 Map St,1
1144 Mansell Ave,1
1318 Delano St #B,1
4806 Mendoza Dr,1
1300 Delano St,1
5105 Bundyhill Cir,1
4605 Leslie Ave,1
1140 Richardine Ave,1
1809 Deloney St,1
1335 Delano St,1
1708 Meander Dr,1
1319 Delano St,1
1127 Nickols Ave,1
1146 Richardine Ave,1
5006 Heflin Ln,1
1600 Meander Dr,1
1602 Meander Dr,1
5007 Rob Scott St,1
1608 Meander Dr,1
5306 Downs Dr,1
1185 Springdale Rd,1
5210 Rob Scott St,1
1148 Webberville Rd,1
5416 Rayburn Ln,1
5213 Hutchinson Dr,1
1210 Cometa St,1
1700 Perez St #B,1
5115 Stone Gate Dr,1
1235 Eleanor St,1
1728 Hillcrest Ln,1
1305 Webberville Rd,1
1138 Mason Ave,1
4710 Louis Ave,1
1408 Penny St,1
5332 Tower Trl,1
1147 Webberville Rd,1
5610 Northdale Dr,1
5102 Stone Gate Dr,1
1623 J J Seabrook Dr,1
4404 Stone Gate Cir,1
5003 Lott Ave,1
4613 E 12th St,1
1421 Berene Ave,1
1303 Delano St,1
1411 Berene Ave,1
4705 Wally Ave,1
1153 Eastfield Ave,1
4702 Ribbecke Ave,1
1136 Richardine Ave,1
1311 Fort Branch Blvd,1
1612 Webberville Rd,1
4708 Carsonhill Dr,1
1156 Nickols Ave,1
1153 Webberville Rd,1
1600 Perez St,1
4806 Walden Cir,1
1117 Garland Ave #A,1
1208 Luna St,1
1802 Victoria Dr,1
1160 Nickols Ave #B,1
5212 Delores Ave,1
5004 Delores Ave,1
5214 Delores Ave,1
1301 Luna St,1
4704 Bandera Rd,1
5203 Ledesma Rd,1
1801 Temple Dr,1
3605 Grant St,1
1126 Ebert Ave,1
4814 Broadhill Dr,1
1210 Luna St,1
4808 Walden Cir,1
4811 Single Shot Cir,1
4906 Broadhill Dr,1
1310 Deloney St,1
4910 Broadhill Dr,1
5203 Samuel Huston Ave,1
1409 Luna St,1
4711 Oak Cliff Dr,1
5506 Samuel Huston Ave,1
4608 Broadhill Dr,1
4703 Oak Cliff Dr,1
4704 Broadhill Dr,1
4611 Oak Cliff Dr,1
1135 Mansell Ave #B,1
1111 Estes Ave #A,1
4804 Tanney St,1
1405 Luna St,1
1123 Lott Ave,1
5204 Rob Scott St,1
4700 Tanney St,1
4808 Single Shot Cir,1
4708 Heflin Ln,1
1405 Marcus Pl,1
3305 Pecan Springs Rd,1
4805 Filey Cv,1
5308 Krueger Ln,1
1404 Marcus Pl,1
1920 Bunche Rd,1
5100 Single Shot Cir,1
4800 Filey Cv,1
5104 Single Shot Cir,1
3914 E 16th St,1
5114 Single Shot Cir,1
1804 Webberville Rd,1
5204 Samuel Huston Ave #A,1
4801 Bandera Rd,1
1604 Astor Pl,1
1717 Adina St,1
1001 Lott Ave,1
1706 Webberville Rd,1
4101 Monticello Cir,1
1801 Adina St,1
4904 Louis Ave,1
4706 Ledesma Rd,1
1409 Singleton Ave,1
1602 Sanchez St,1
1307 Coleto St,1
1119 Lawson Ln,1
1601 Miriam Ave UNIT 115,1
2205 E 17th St,1
1111 Lawson Ln,1
1109 Lawson Ln,1
1181 Greenwood Ave,1
3308 Goodwin Ave,1
1403 Sanchez St,1
1128 Linden St,1
1200 Henninger St,1
3409 Kay St,1
1106 Fiesta St,1
1171 1/2 Hargrave St,1
3017 E 14th St,1
1022 Linden St #B,1
1022 Linden St #A,1
3110 Govalle Ave,1
1117 Linden St,1
1122 Tillery St,1
1121 1/2 Henninger St,1
1174 1/2 Bedford St,1
1210 Harvey St,1
1182 Ridgeway Dr #A,1
2900 E 14th St,1
1404 Sanchez St,1
1710 Chestnut Ave,1
1211 Walnut Ave #B,1
1801 E 16th St,1
1127 Leona St,1
1703 Walnut Ave #A,1
2504 E 13th St,1
1302 Cedar Ave,1
2604 E 13th St,1
1311 Singleton Ave,1
2108 Rosewood Ave #B,1
1612 E 13th St #B,1
1209 Chestnut Ave,1
1702 E 17th St,1
2101 Pennsylvania Ave,1
2016 Peoples St,1
1309 Cedar Ave UNIT B,1
1600 Singleton Ave,1
1304 Coleto St,1
1131 1/2 Poquito St APT B,1
1902 E 17th St #2,1
1129 Poquito St,1
1304 Chicon St,1
1302 Salina St,1
1606 Maple Ave,1
1908 Pennsylvania Ave #1,1
2000 E 14th St,1
2002 E 14th St,1
2304 E 13th St,1
1304 Alamo St,1
1123 3/4 Gunter St,1
2902 E 13th St,1
4704 Santa Anna St,1
3007 E 14th 1/2 St,1
3405 Charles St,1
3400 Kay St,1
3002 E 16th St,1
3303 Thompson St,1
3014 E 14th 1/2 St,1
2936 E 14th St,1
3022 E 14th 1/2 St,1
3019 E 16th St,1
1407 Harvey St,1
1117 1/4 Gunter St,1
1183 Hargrave St #A,1
1207 Greenwood Ave,1
1147 1/2 Gunter St,1
2921 E 14th St,1
3010 E 14th St,1
3014 E 14th St,1
2508 Rosewood Ave,1
1145 3/4 Gunter St,1
1183 Greenwood Ave,1
3011 E 14th 1/2 St,1
3010 E 13th St,1
1800 Webberville Rd #B,1
1804 Wildrose Dr,1
4713 Louis Ave,1
1718 Hillcrest Ln,1
4702 Santa Anna St,1
1206 Greenwood Ave,1
3012 E 13th St,1
1121 Gunter St,1
1176 Pandora St,1
2812 Oak Springs Dr,1
1608 Clifford Ave,1
2904 Webberville Rd,1
2906 Webberville Rd,1
2905 Glen Rae St,1
1109 Fiesta St UNIT 1,1
3405 Pennsylvania Ave,1
1012 Muse Ln #16,1
1185 Greenwood Ave,1
1188 Greenwood Ave,1
3014 E 12th St,1
3323 E 12th St,1
1121 1/2 Gunter St,1
3125 Govalle Ave,1
1167 Ridgeway Dr,1
1024 Linden St,1
2804 Crest Ave,1
3500 Pickle Dr #B,1
1181 Pandora St,1
1113 Euphoria Bnd,1
1162 Ridgeway Dr,1
1184 Ridgeway Dr,1
1186 Ridgeway Dr,1
2607 Sol Wilson Ave,1
3502 Pennsylvania Ave #2,1
5909 Wagon Bnd,1
6510 Starstreak Dr,1
1008 Harwood Pl,1
11533 Arbroath Ln,1
6012 Gaelic Ct,1
6605 Adair Dr,1
5628 Colinton Ave,1
5804 Speyside Dr,1
11601 Murron Dr,1
12309 Kilmartin Ln,1
12305 Drummond Dr,1
5709 Clyde Ln,1
12316 Kilmartin Ln,1
11804 Arran St,1
11921 Arran St,1
11612 Murron Dr,1
6704 Tulloch Way,1
11621 Murron Dr,1
13009 Titanium St,1
5617 Brougham Way,1
12413 Tay Ter,1
12217 Orkney Ln,1
11805 Arran St,1
12208 Kilmartin Ln,1
5504 Colinton Ave,1
12412 Tay Ter,1
12425 Drummond Dr,1
12316 Orkney Ln,1
11932 Gaelic Dr,1
6113 Boyce Ln,1
5824 Grampian Cv,1
5516 Liberton Ln,1
113 W 55th St,1
11908 Lansdowne Rd,1
6108 Magnus St,1
6818 Ashprington Ln,1
5816 Adair Cv,1
11525 Arbroath Ln,1
5520 Colinton Ave,1
11904 Gaelic Dr,1
12016 Arran St,1
12016 Dunfries Ln,1
12109 Arran St,1
11845 Gaelic Dr,1
11713 Lansdowne Rd,1
11701 Lansdowne Rd,1
12004 Lansdowne Rd,1
12104 Arran St,1
5609 Liberton Ln,1
11820 Dunfries Ln,1
7109 Cromarty Cv,1
7013 Cromarty Cv,1
6801 Cromarty Ln,1
5601 Clyde Ln,1
12441 Granton Cv,1
12320 Granton Cv,1
11925 Kilmartin Ln,1
6800 Tulloch Way,1
6617 Adair Dr,1
12123 Kilmartin Ln,1
5616 Liberton Ln,1
12408 Drummond Dr,1
5704 Colinton Ave,1
918 E 49th 1/2 St,1
4913 Avenue G,1
1301 Berkshire Dr,1
302 Franklin Blvd,1
407 W 55th St #A,1
4903 Avenue F #A,1
4320 Attra St,1
4319 Nitschke St,1
1406 Briarcliff Blvd,1
5207 Avenue F,1
1411 Bentwood Rd,1
1010 E 38th St,1
4508 Berkman Dr,1
1421 Hillcrest Dr,1
12308 Kelton Dr,1
5403 Link Ave,1
1900 Tom Miller St,1
5400 Avenue F,1
930 E 49th 1/2 St,1
4612 Berkman Dr,1
1314 Yorkshire Dr,1
1307 E 52nd St #4,1
1615 Corona Dr,1
212 Nelray Blvd,1
4508 Page St,1
1304 Hillcrest Dr,1
1400 Hillcrest Dr,1
1402 Larkwood Dr,1
1405 Berkshire Dr,1
1413 Berkshire Dr,1
5204 Harmon Ave,1
5509 Colinton Ave,1
6112 Speyside Dr,1
1033 E 43rd St,1
1031 E 43rd St,1
701 E 49th St #B,1
4220 Threadgill St,1
1613 Westmoor Dr,1
1021 E 43rd St,1
4911 Avenue H,1
4616 Ruiz St,1
5209 Knight Cir,1
